date;close;ret_m;mm3;mm6;mm12;vol3;vol6;momentum3;volrel;selic_m;ipca_m;close_plus1
01/01/2020;108,9;-0,0209;108,16;104,3883;99,2958;0,0614;0,0614;0,0549;1,2997;0,045;0,0021;108,9
02/01/2020;100,6;-0,0762;106,91;104,8867;100,025;0,0717;0,0717;-0,0359;1,3491;0,0425;0,0025;100,6
03/01/2020;69,35;-0,3106;92,95;99,61;98,1533;0,1538;0,1611;-0,3765;4,086;0,0375;0,0007;69,35
04/01/2020;77,21;0,1133;82,3867;95,2733;96,8475;0,2124;0,1654;-0,291;1,2272;0,0375;-0,0031;77,21
05/01/2020;84,15;0,0899;76,9033;91,9067;96,0608;0,2383;0,158;-0,1635;0,8369;0,03;-0,0038;84,15
06/01/2020;91,62;0,0888;84,3267;88,6383;95,6033;0,0139;0,1608;0,3211;0,698;0,0225;0,0026;91,62
07/01/2020;99,29;0,0837;91,6867;87,0367;95,7125;0,0033;0,1662;0,286;0,6773;0,0225;0,0036;99,29
08/01/2020;95,7;-0,0362;95,5367;86,22;95,5533;0,0707;0,1634;0,1373;0,9108;0,02;0,0024;95,7
09/01/2020;91,05;-0,0486;95,3467;89,8367;94,7233;0,0731;0,0712;-0,0062;1,0265;0,02;0,0064;91,05
10/01/2020;90,66;-0,0043;92,47;92,0783;93,6758;0,0229;0,0658;-0,0869;1,1338;0,02;0,0086;90,66
11/01/2020;105;0,1582;95,57;95,5533;93,73;0,1089;0,0823;0,0972;1,0215;0,02;0,0089;105
12/01/2020;114,65;0,0919;103,4367;99,3917;94,015;0,0817;0,0827;0,2592;0,716;0,02;0,0135;114,65
01/01/2021;110,56;-0,0357;110,07;101,27;94,1533;0,0985;0,0846;0,2195;0,8119;0,02;0,0025;110,56
02/01/2021;105,59;-0,045;110,2667;102,9183;94,5692;0,0765;0,0859;0,0056;0,9266;0,02;0,0086;105,59
03/01/2021;112,02;0,0609;109,39;106,4133;98,125;0,0586;0,08;-0,0229;1,4813;0,0275;0,0093;112,02
04/01/2021;114,4;0,0212;110,67;110,37;101,2242;0,0535;0,0779;0,0347;0,7502;0,0275;0,0031;114,4
05/01/2021;121,25;0,0599;115,89;113,0783;104,3158;0,0226;0,0558;0,1483;0,688;0,035;0,0083;121,25
06/01/2021;121,81;0,0046;119,1533;114,2717;106,8317;0,0284;0,0455;0,0874;0,6569;0,0425;0,0053;121,81
07/01/2021;117,11;-0,0386;120,0567;115,3633;108,3167;0,0494;0,0461;0,0237;0,8683;0,0425;0,0096;117,11
08/01/2021;114,08;-0,0259;117,6667;116,7783;109,8483;0,0222;0,0419;-0,0591;1,4022;0,0525;0,0087;114,08
09/01/2021;106,49;-0,0665;112,56;115,8567;111,135;0,0208;0,0454;-0,1258;1,6237;0,0625;0,0116;106,49
10/01/2021;99,68;-0,0639;106,75;113,4033;111,8867;0,0228;0,0478;-0,1488;1,4061;0,0775;0,0125;99,68
11/01/2021;98,35;-0,0133;101,5067;109,5867;111,3325;0,03;0,0281;-0,1379;1,0319;0,0775;0,0095;98,35
12/01/2021;100,8;0,0249;99,61;106,085;110,1783;0,0446;0,0343;-0,0534;0,7633;0,0925;0,0073;100,8
01/01/2022;107,98;0,0712;102,3767;104,5633;109,9633;0,0424;0,0532;0,0833;0,873;0,0925;0,0054;107,98
02/01/2022;108,9;0,0085;105,8933;103,7;110,2392;0,0325;0,0533;0,1073;0,7656;0,1075;0,0101;108,9
03/01/2022;115,6;0,0615;110,8267;105,2183;110,5375;0,0338;0,05;0,1468;1,0912;0,1175;0,0162;115,6
04/01/2022;103,4;-0,1055;109,3;105,8383;109,6208;0,0854;0,064;-0,0424;0,6216;0,1175;0,0106;103,4
05/01/2022;107,18;0,0366;108,7267;107,31;108,4483;0,0901;0,064;-0,0158;1,2171;0,1275;0,0047;107,18
06/01/2022;95;-0,1136;101,86;106,3433;106,2142;0,0845;0,0825;-0,1782;1,2465;0,1325;0,0067;95
07/01/2022;99,3;0,0453;100,4933;104,8967;104,73;0,0893;0,0782;-0,0397;0,9732;0,1325;-0,0068;99,3
08/01/2022;105,83;0,0658;100,0433;104,385;104,0425;0,0982;0,0843;-0,0126;1,012;0,1375;-0,0036;105,83
09/01/2022;106,46;0,006;103,8633;102,8617;104,04;0,0304;0,0788;0,1206;0,8261;0,1375;-0,0029;106,46
10/01/2022;112,15;0,0534;108,1467;104,32;105,0792;0,0316;0,0664;0,1294;1,0948;0,1375;0,0059;112,15
11/01/2022;108,58;-0,0318;109,0633;104,5533;105,9317;0,0427;0,068;0,026;1,3275;0,1375;0,0041;108,58
12/01/2022;105,95;-0,0242;108,8933;106,3783;106,3608;0,0472;0,0417;-0,0048;1,0847;0,1375;0,0062;105,95
01/01/2023;109,84;0,0367;108,1233;108,135;106,5158;0,0376;0,0407;-0,0206;0,7495;0,1375;0,0053;109,84
02/01/2023;101,15;-0,0791;105,6467;107,355;105,87;0,0579;0,0487;-0,0684;0,7272;0,1375;0,0084;101,15
03/01/2023;98,49;-0,0263;103,16;106,0267;104,4442;0,058;0,0488;-0,0704;1,2349;0,1375;0,0071;98,49
04/01/2023;100,9;0,0245;100,18;104,1517;104,2358;0,0518;0,042;-0,0814;0,8271;0,1375;0,0061;100,9
05/01/2023;104,84;0,039;101,41;103,5283;104,0408;0,0343;0,0466;0,0365;1,2846;0,1375;0,0023;104,84
06/01/2023;114,17;0,089;106,6367;104,8983;105,6383;0,0338;0,0586;0,1592;0,8928;0,1375;-0,0008;114,17
07/01/2023;117,95;0,0331;112,32;106,25;107,1925;0,0307;0,0583;0,169;0,8842;0,1375;0,0012;117,95
08/01/2023;112,31;-0,0478;114,81;108,11;107,7325;0,0688;0,0491;0,0713;0,903;0,1325;0,0023;112,31
09/01/2023;113,15;0,0075;114,47;110,5533;108,29;0,0414;0,0446;-0,0089;0,7038;0,1275;0,0026;113,15
10/01/2023;109,62;-0,0312;111,6933;112,0067;108,0792;0,0284;0,05;-0,0706;0,7208;0,1275;0,0024;109,62
11/01/2023;123,57;0,1273;115,4467;115,1283;109,3283;0,0826;0,0682;0,1003;1,0294;0,1225;0,0028;123,57
12/01/2023;130,39;0,0552;121,1933;117,8317;111,365;0,0793;0,0636;0,1524;0,7966;0,1175;0,0056;
